File,Transcript,Translation
D1,"DEI, nan vaara late aagum,neenge yelarum ponga","hey,i will be late,you all go"
D2,"guys,emergency ya blood vennum,inda number ku call panuga","guys,there is an emergency,we need blood urgently,call me on this number"
D3,"machan,nan varla ,yenneku work irukudhu","dude,i am not coming ,got some work"
D4,"lets eat here da,yenuku pasikidhu,sapte aganum","lets eat here,i am really hungry ,have to eat food now!"
D5,"he will not come machan,avan nethe inform panithan group la","he will come,he has informed already in the group about the function"
D6,"inndha week poga vendam da,I have got some plans da","we will not go this week man,i got some plans this week"
D7,"its your wish machi,if you ask me I will not recommend this restaurant,nan anga sapten","its your wish,if you ask me i will not recommend that restaurant,i have ate there several times."
D8,"are we playing this week,yenku thirinju yaarum mai illa team la so lets postpone da",guys are we playing this week? i think no one is there in the team so lets postpone to nextweek
D9,nan just velliye irundu vanthen,i have just came from outside
D10,nan shooping poyitu late tha varuven,i will go shopping and come late
D11,nan padhika prepare paniten iruken,i am preparing for my studies
D12,nan yen friend paaka veliye poran,i will go out to meet my friend
D13,konjam water kudunga,give me some water please
D14,"lecture poitu irruku,12.30 ku vaaren","my lectures are going on,will come at 12.30"
D15,"super aah irruku,kandipa nanga yellarum varuvom",it looks superb! we will come surely with everyone
D16,inda role la nanga pathede kedaiyadu,we have never seen our leader in this role
D17,Ivaṉai minja yarum illai,there is no one better than him
D18,ivanuku filmfare award conform,confirm he will get a  filmfare award
D19,naariya naraiya per wait panurankga,many people are waiting
D20,indha padham kandipa crimestory ya dhan irrukum,this movie is surely a crime story
D21,yenna da panni vachirukiga,what have you guys done
D22,yuvan bgm nalla iruku,yuvan bgm is good
D23,"ayyo, yenuku yedum me puriyala",i didn’t understand anything in movie
D24,opening scene vera level,opening scene is superb!
D25,nanum oru vijay fan dhan,i am also a vijay fan
D26,adengaapa super trailer fight,good trailer fight
D27,hindi padham trailer path madhiri iruku,looks like a hindi movie trailer
D28,nadigar ajith we are waiting,"actor ajith,we are waiting"
D29,idhu podum thala podum thala,this is enough
D30,yenuku yedum poriyave illa,i didn’t understand anything
D31,thala vera level opening,good opening leader
D32,socia message irukura padham,this movie has social message
D33,"ayyo,yenna solradhu",god!!what to say
D34,sigraaana everest nadipu,top everest acting
D35,idhuku dhan oru theraiyana director venum,this why we need a talented director
D36,kadaisi part of the music is super!,last part of the music is super
D37,ivaruku thevai ilama oru fight scene padhatla,he is having a fight scene which isn't needed
D38,romba varusam kalichu nalla dance adirukanga,"after many years,he has danced nicely"
D39,"sir,veru patta nadipu","sir,a different act"
D40,yellam avan seiyal mobie madiri iruku,"this looks like ""yellam avan seiyalam"" movie"
D41,dialogu romba nalla iruku,dialogue is good
D42,yellam nall iruku ana yedho miss agudhu,its good but something is missing
D43,Taṟumaṟu takkali soru,occasionally tomato porridge
D44,thala opening scene ne illa,no opening scene for our leader
D45,andha fan na podhu,switch on the fan
D46,padham kadhai super,movie story is superb!
D47,yellarum vishvasama than irukaranga,everyone is trustworhty
D48,yenna da nadakudhu inga,ewhat is happening here
D49,amitabh bachan acting evanuku konjum kuda set agala,amitabh bachan acting is not suiting him
D50,nee partha viligal,seeing through your eyes
D51,Naetru naan unnai paartha paarvai veru,i hate the sight i saw of you
D52,Neengatha ennamaga aanai indru,today you became a memory forever
D53,Unnodu naanum pona dhooram yaavum nenjile,"the distance that i covered with you, is there in my mind"
D54,Reengaara ninaivugalaga alaiyai inge minjuthe,it is there as a buzzing wave in my heart
D55,Noolarundha pattam pole Unnai sutri naanum aada,i’m swirling around you like a kite
D56,Kaigal neeti neeyum pidikka kaathirukiren,i’m waiting for you to stretch your hand and catch me
D57,Idharkellam arthanagal yenna Kekka vendum unnai,what is the meaning for all this?i must ask you
D58,Kaalam kai koodinal,if the time comes together
D59,Kadhaippoma kadhaippoma kadhaippom,shall we speak
D60,Nee pesa pesa kaayam aarume,as we speak my wounds will heal
D61,Adhikaalai vandhaal Azhagaai en vaanil nee Anaiyaadha suriyan aagiraai,when the dawn comes you appear beautifully in my sky as everlasting sun
D62,amma sathiyama sollu trailer nalla illa nu,swear on your mother and say the trailer is not good
D63,come on idhu thala fans festival,come on this is thala fans festival
D64,avalo onnum massa illa,its not that great
D65,romba nariye super dialogue iruku,there are so many good dialogues
D66,semma super trailer like podunga,"great trailer,like it"
D67,idhu pudhu padham mathiri irruku,this looks like a new movie
D68,oruthar mela vishwasam katunga,have trust on one person
D69,"however,movie okay than",however the movie is fine
D70,romba heache inda movie yale,because of this movie i have headache
D71,vikram looks nalla irukudhu,vikram looks are good
D72,"effortless,innum vayise agla pa","effortless,he is not aged at all"
D73,movie maranam mass ahh iruku,movie is soo great
D74,indian film making nalla iruku,india film making really good
D75,bgm gibran naalave illa,bgm gibran in not good at all
D76,"unnkita kethen na,shut up","did i ask you,shutup"
D77,"sirikkatha preetha sema kovam varuthu"""" adicted to this dialog","""i am angry,don’t laugh preetha"" addicted to this dialogue"
D78,Neenga velayadanathu enkitta illa yeman kitta,"you have not meesed with me,with the devil"
D79,chiyan veriyan ivan show,chiyan dieheart fans show
D80,movie nadikiradhuku theramai thevai illai,there is no need foe talent to act in a movie
D81,only kaasu irundha podhum,only money is enough
D82,stunts scenes nenacha dhan bayama iruku,thinking about the stunt scene is scary
D83,Vikram Hair Style....Pidichavanga Like Podunga,whoever likes vikram hairstyle like
D84,Naamalum Vaipom Future Le,we will also do in the future
D85,.Andha Hair Style Le,that hairstyle 
D86,Ethana peru ethu maari padathula except ajith,no seen like this except ajith
D87,Kamal sir nenga vikrama vaithu marma yogi movie pannunga,kamal sir take vikram and do marma yogi movie
